name,screen_size,memory_size,battery,price,old_price,pcnt_deduction,rating
XIAOMI Redmi A1+," 6.52""", 2GB+32GB, 8.0MP,"KSh 8,999","KSh 12,499",Official Store,4.5 out of 5
XIAOMI Redmi 10A," 6.53""", 3GB+64GB, 13.0MP,"KSh 12,999","KSh 16,199",Official Store,4.2 out of 5
Infinix Smart 6," 6.6""", 32GB + 2GB RAM (Dual SIM), 5000mAh,"KSh 9,499","KSh 14,299",Official Store,5 out of 5
Tecno Spark 8P," 6.6""", 64GB + 4GB RAM (Dual SIM), 5000mAh,"KSh 13,830","KSh 19,999",31%,No rating on this one!
Oppo A16k," 6.52""", 32GB + 3GB RAM (Dual SIM), 4230mAh - Blue,"KSh 12,999","KSh 25,998",Official Store,5 out of 5
XIAOMI Redmi 10C 6.71'', 4GB+128GB, 50MP+2MP Camera, 4G,"KSh 16,599","KSh 21,999",Official Store,4.4 out of 5
Qwen True Wireles Earbuds Bluetooth Headsets Earphones With Charging Box,no screen size info,No memory size info,No battery info,KSh 518,KSh 649,20%,3.8 out of 5
Infinix Hot 20i," 6.6""", 64GB + 3GB RAM (Dual SIM), 5000mAh,"KSh 11,999","KSh 14,999",Official Store,No rating on this one!
Samsung Galaxy A13," 6.6""", 128GB + 4GB RAM (Dual SIM), 5000mAh,"KSh 21,695","KSh 27,571",Official Store,4.3 out of 5
Samsung Galaxy A13," 6.6""", 64GB + 4GB RAM (Dual SIM), 5000mAh,"KSh 19,295","KSh 24,521",Official Store,4.4 out of 5
Oraimo Senior BT5.0 Single Wireless Bluetooth Headsets,no screen size info,No memory size info,No battery info,KSh 494,"KSh 1,039",Official Store,4.4 out of 5
Oraimo Smart Watch 1.69'' IPS Screen IP68 Waterproof,no screen size info,No memory size info,No battery info,"KSh 3,395","KSh 7,200",Official Store,4.4 out of 5
Tecno Camon 18," 6.8""", 128GB + 4GB RAM (Dual SIM), 4G,"KSh 19,799","KSh 21,999",10%,No rating on this one!
Generic Color Screen Smart Watch Heart Rate Sport Bracelet,no screen size info,No memory size info,No battery info,KSh 588,"KSh 1,153",Shipped from abroad,3.5 out of 5
ARHANORY 1.1M Phone Camera Tripod Stand Lightweight-Silver,no screen size info,No memory size info,No battery info,KSh 696,"KSh 1,463",Official Store,4.1 out of 5
Generic Curved Composite Material Soft Film For Xiaomi Mibro Lite,no screen size info,No memory size info,No battery info,KSh 148,KSh 290,Shipped from abroad,3 out of 5
XIAOMI Redmi 10C 6.71'', 4GB+64GB, 50MP+2MP Camera, 4G,"KSh 14,599","KSh 19,239",Official Store,4.4 out of 5
Generic Bluetooth Wireless Earphones Sound Headsets Noise Cancelling HD Binaural Call Earbuds,no screen size info,No memory size info,No battery info,KSh 540,"KSh 1,040",48%,3.4 out of 5
Qwen Bluetooth Headset Wireless Earbuds 1200 Mah,no screen size info,No memory size info,No battery info,KSh 698,KSh 759,8%,4 out of 5
Generic Stereo Bluetooth Fingerprint Earphone PINK,no screen size info,No memory size info,No battery info,KSh 597,"KSh 1,171",49%,3.9 out of 5
Generic Car Back Seat Tablet Holder Mount Stand,no screen size info,No memory size info,No battery info,KSh 63,KSh 124,49%,4.7 out of 5
Lenovo ThinkplusLP1 Pro BT5.1 True Wireless Earphone,no screen size info,No memory size info,No battery info,"KSh 1,250","KSh 2,451",49%,5 out of 5
Generic Smart Watch Can Install SIM Card-call Watch,no screen size info,No memory size info,No battery info,KSh 905,"KSh 1,775",Shipped from abroad,3.6 out of 5
Samsung Galaxy A13," 6.6""", 64GB + 4GB RAM (Dual SIM), 5000mAh,"KSh 19,295","KSh 24,521",Official Store,4.5 out of 5
T&G Wireless Bluetooth Speaker With Phone Holder-Black,no screen size info,No memory size info,No battery info,"KSh 1,026","KSh 1,859",45%,4.3 out of 5
Generic Bluetooth Smart Watches Men Women Kids Waterproof,no screen size info,No memory size info,No battery info,KSh 700,"KSh 1,300",46%,3.8 out of 5
Oraimo FreePods3 True Wireless Stereo Earbuds - Black,no screen size info,No memory size info,No battery info,"KSh 3,134","KSh 6,480",Official Store,4.6 out of 5
Edifier TWS330 NB Wireless Headphone,Bluetooth Headset Earpiece,Active Noise Cancelling,IP54 Sweatproof,"KSh 1,499","KSh 3,120",Official Store,4.6 out of 5
Generic Smart Watches + Bluetooth Headset Affordable Set,no screen size info,No memory size info,No battery info,KSh 699,"KSh 1,371",Shipped from abroad,4 out of 5
Oraimo Riff Smaller For Comfort True Wireless Earbuds - Black,no screen size info,No memory size info,No battery info,"KSh 2,240","KSh 3,600",Official Store,4.4 out of 5
Qwen Power Banks 10000 MAh  Mirro Design With 4 Cables,no screen size info,No memory size info,No battery info,KSh 898,"KSh 1,000",10%,4 out of 5
Samsung Galaxy A03 Core," 6.5"" 32GB + 2G", 5000mAh,Dual Sim- (Black) Onyx,"KSh 11,692","KSh 14,858",Official Store,3.9 out of 5
XIAOMI Redmi 10C 6.71'', 4GB+128GB, 50MP+2MP Camera, 4G,"KSh 16,599","KSh 21,999",Official Store,4.8 out of 5
Tecno CAMON 19," 6.8""", 128GB+ 4GB (Dual SIM), (4G LTE) 5000mAh,"KSh 21,399","KSh 24,999",Official Store,4.8 out of 5
Generic Danjo Wireless LED Touch Bluetooth Earbuds And Portable Charger/Power Bank, 2200mAh, Bluetooth 5.0, Waterproof/Sweat-Proof,KSh 890,"KSh 1,900",53%,3.8 out of 5
Samsung Galaxy A23, 6.6″, 64GB + 4GB RAM (Dual SIM), 5000mAh,"KSh 22,463","KSh 28,669",Official Store,4.3 out of 5
Generic Smart Watch Men Women Smart Wristband Fitness,no screen size info,No memory size info,No battery info,KSh 597,"KSh 1,171",49%,3.2 out of 5
Generic True Fingerprint Bluetooth Headset Mic Hands-free,no screen size info,No memory size info,No battery info,KSh 462,KSh 971,52%,3.5 out of 5
Ace Elec Apds Pro 4 Earbuds Bluetooth Stereo Headsets,no screen size info,No memory size info,No battery info,KSh 690,"KSh 1,324",48%,3.8 out of 5
Generic I Watch Series 7 Sports Smart Watch Bluetooth Call,no screen size info,No memory size info,No battery info,"KSh 2,427","KSh 4,759",49%,3.7 out of 5
